region,year,FDI
Europe,15,37020
Europe,16,58290
Europe,17,96770
Europe,18,44320
E. Asia,15,27550
E. Asia,16,12530
E. Asia,17,24020
E. Asia,18,10510
Australia,15,10480
Australia,16,6630
Australia,17,5950
Australia,18,3720
Mid-East and N. Africa,15,540
Mid-East and N. Africa,16,2550
Mid-East and N. Africa,17,2960
Mid-East and N. Africa,18,3560
W. Asia,15,15140
W. Asia,16,5490
W. Asia,17,7870
W. Asia,18,9690
N. America,15,1590
N. America,16,5160
N. America,17,2390
N. America,18,5610
S. America,15,3520
S. America,16,15470
S. America,17,10030
S. America,18,14850
Sub-Saharan Africa,15,6310
Sub-Saharan Africa,16,4740
Sub-Saharan Africa,17,2290
Sub-Saharan Africa,18,12300