Investment by Industry,2015,2016,2017,2018
Agriculture & Food,7393,7408,7566,7576
Automotive,3008,4034,4470,4489
Aviation,736,736,798,808
Basic Materials,1871,2341,2430,2605
Consumer Prod. & Serv.,981,6632,6673,6718
Electronics,684,4928,5156,5156
Energy,13349,13366,13401,13401
Entertainment,4016,8796,9320,9520
Finance & Bus. Services,3900,5825,7149,7151
Health & Biotech,2885,3913,6460,7450
ICT,10880,14175,16708,16816
Ind. Machinery & Equip.,819,1026,1114,1197
Real Estate & Hospitality,12284,29211,40176,40563
Transport & Infrastructure,595,6637,17042,17042